prompt,input,output
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Patient complains of an itchy, scaly rash accompanied by dry skin. The condition has progressed to a weeping, reddened rash with discharging lesions. On examination, signs of dry and scaly skin are evident, along with observed erythema, excoriations, papules, vesicles, creamy satellite pustules, persistent brown patches, well-demarcated patches, and plaques.","{'Suspected medical condition': 'INTERTRIGO', 'Investigations': ['Patch testing for contact dermatitis', 'Skin scraping for fungal elements', 'Fasting blood glucose', 'Swab for culture and sensitivity'], 'TreatmentObjectives': ['Relieve symptoms and/or associated discomfort', 'Identify and treat any predisposing factors'], 'NonPharmacologicalTreatment': ['Wear loose cotton clothing and open footwear', 'Weight loss', 'Avoid precipitating factors if any'], 'PharmacologicalTreatment': {'CandidaIntertrigo': {'Miconazole 2% + 1% hydrocortisone cream': 'Apply 12 hourly for 14 days (Adults), Apply 12 hourly for 7 days (Children)', 'Miconazole 2% cream': 'Apply 12-24 hourly till rash resolves (Adults), Apply 12-24 hourly till rash resolves (Children)', 'Clotrimazole 1% cream': 'Apply 12-24 hourly till rash resolves (Adults), Apply 12-24 hourly till rash resolves (Children)', 'Miconazole 2% powder': 'Apply 12-24 hourly till rash resolves (Adults), Apply 12-24 hourly till rash resolves (Children)', 'Clotrimazole 1% powder': 'Apply 12-24 hourly till rash resolves (Adults), Apply 12-24 hourly till rash resolves (Children)', 'Itraconazole (oral)': '200 mg daily for 7 days (Adults), 200 mg daily for 7 days (Children > 12 years), 3-5 mg/kg daily for 7 days (1 month-12 years)', 'Fusidic Acid 2% cream': 'Apply 6-8 hourly to affected parts (Adults), Apply 6-8 hourly to affected parts (Children)', 'Clarithromycin (oral)': '1 g stat (Adults), 250-500 mg stat (Children)', 'Erythromycin (oral)': '500 mg 12 hourly for 5 days (Adults), 8-18 years: 250-500 mg 12 hourly for 5 days, 2-8 years: 250 mg of syrup 12 hourly for 5 days', ""Whitfield's ointment"": 'Apply 12 hourly till rash resolves (Adults), Apply 12 hourly till rash resolves (Children)'}, 'Contact Dermatitis Eczema Psoriasis': {'Hydrocortisone cream 1%': 'Apply 2-3 times daily (Adults), >10 years: apply thinly 12-24 hourly for 7 days (Children), Mometasone lotion/ointment 0.1%: Apply thinly once daily for 7 days (Adults), Apply thinly once daily for 7 days (Children), Betamethasone cream/ointment. Apply thinly 12-24 hourly for 7 days (Adults), 1-18 years: apply thinly 12-24 hourly for 7 days (Children)'}}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Patient complains of the sudden or gradual onset of swelling and/or pain in the scrotum or its contents. Additionally, there may be fever accompanying these symptoms. The patient reports tender or non-tender swelling localized to the scrotum. There is a concern for possible infections as indicated by the presence of fever. The medical assessment involves conducting transillumination for hydrocele and thorough examination of the abdomen, groin, and testicles to determine the underlying cause of these distressing symptoms and signs.","{'Suspected medical condition': 'SCROTAL MASSES', 'Causes': {'Painless Swellings': ['Testicular tumour', 'Inguinoscrotal hernia', 'Hydrocoele', 'Hydrocoele of spermatic cord', 'Spermatocoele/epididymal cysts', 'Varicocoele', 'Epididymal tumours', 'Chronic epididymo-orchitis'], 'Painful Swellings': ['Testicular torsion', 'Acute epididymitis', 'Acute epididymo-orchitis', 'Strangulated inguinoscrotal hernia', 'Varicocoeles']}, 'Investigations': ['Ultrasound of the scrotum', 'Full blood count', 'Urinalysis', 'Swab and culture if an infection is suspected'], 'TreatmentObjectives': 'Relieve pain, save testis where possible', 'NonPharmacologicalTreatment': 'Surgical intervention may be required for some Causes', 'PharmacologicalTreatment': {'TesticularTumour': 'Refer urgently to a urologist', 'InguinoscrotalHerniaHydrocoeleHydrocoeleOfSpermaticCordSpermatocoeleEpididymalCystsVaricocoeleEpididymalTumoursChronicEpididymoOrchitis': {'Analgesics': 'Provide pain relief', 'Antibiotics': 'For epididymitis or epididymo-orchitis', 'Anti-inflammatories': 'Provide anti-inflammatory medication', 'SurgicalReferral': 'For chronic pain or complications'}, 'TesticularTorsion': {'ImmediateReferral': 'Urgent surgical intervention needed'}, 'StrangulatedInguinoscrotalHernia': {'ImmediateReferral': 'Urgent surgical intervention needed'}, 'Varicocoeles': {'Analgesics': 'Provide pain relief if necessary', 'SclerotherapyOrEmbolisation': 'Minimally invasive procedures if required'}}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Patient presents with the distressing occurrence of spontaneous abortion. The event was marked by the sudden loss of pregnancy without any prior indications. The patient experienced symptoms like vaginal bleeding, cramping, and the passage of tissue. ","{'Causes': {'Spontaneous Abortions': ['Infections e.g. malaria, UTI, bacterial vaginosis etc.', 'Foetal abnormalities', 'Incompetent cervix', 'Chronic illness e.g. diabetes, thyroid disorders, sickle cell disease etc.', 'Trauma'], 'Unsafe Abortions': 'Interference of the pregnancy with medications (oral, parenteral or douches) or instrumentation'}, 'INVESTIGATIONS': ['FBC and sickling', 'Ultrasound scan (to confirm viable foetus in utero with closed cervix)', 'Other investigations for potential underlying Causes e.g. malaria'], 'TREATMENT': {'Treatment objectives': ['To maintain a viable pregnancy to term if possible', 'Non-pharmacological treatment', 'Pharmacological treatment (No specific treatment required)']}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Patient presents with concerning symptoms including scanty to moderate painless vaginal bleeding and mild pelvic discomfort. Additionally, there are signs indicating that the uterine size corresponds to the gestational age, and no cervical effacement or dilation has been observed. ","{'Suspected medical condition': 'THREATENED ABORTION', 'INVESTIGATIONS': ['FBC and sickling', 'Ultrasound scan (to confirm viable foetus in utero with closed cervix)', 'Other investigations for potential underlying Causes e.g. malaria'], 'TREATMENT': {'Treatment objectives': ['To maintain a viable pregnancy to term if possible', 'Non-pharmacological treatment', 'Pharmacological treatment (No specific treatment required)']}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Patient presents with distressing symptoms including lower abdominal pain, heavy vaginal bleeding, and the alarming absence of foetus or products of conception passed through the vagina. Additionally, there is a painless loss of liquor per vaginam. On examination, signs are evident, including cervical dilation with bulging membranes, potential loss of liquor, and a uterine size that matches the gestational age. Furthermore, concerning signs of shock, such as pallor, collapsed peripheral vessels, an increasing pulse with diminishing volume, falling blood pressure, and cold clammy skin, have been observed. ","{'Suspected medical condition': 'INEVITABLE ABORTION', 'INVESTIGATIONS': ['FBC and sickling', 'Blood grouping and cross-matching', 'Ultrasound scan (shows the foetus dead or alive)', 'Cervix may be dilated with membranes bulging through it', 'In instances associated with loss of liquor, there may be oligohydramnios'], 'TREATMENT': {'Treatment objectives': ['To resuscitate patient and/or prevent shock', 'To relieve pain', 'To evacuate the uterus', 'To prevent infection with antibiotic prophylaxis', 'To prevent risk of Rhesus incompatibility in future pregnancies'], 'Non-pharmacological treatment': ['Evacuation of the uterus is done by either of the following techniques after the expulsion of the foetus or before the expulsion of the foetus if it is less than 12-14 weeks size', 'Manual Vacuum Aspiration (MVA) with or without paracervical block anesthesia', 'Uterine curettage under paracervical block or general anesthesia (Gestations 12 weeks or less', 'Uterine evacuation under anesthesia especially when the uterine size is larger than 12 weeks size'], 'Pharmacological treatment': ['A. If patient is in shock or bleeding is severe', 'B. To relieve severe pain', 'C. Evacuate uterus', 'D. To Prevent Infection', 'E. To prevent Rhesus Isoimmunization in Rhesus negative women']}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Patient presents with distressing symptoms including the passage of large blood clots, the foetus, and some products per vaginam. Alongside this, there is the presence of severe lower abdominal pain. On examination, signs indicate potential severity, such as pallor and/or shock if bleeding is intense. Furthermore, the uterine size appears smaller than expected for the given dates. The cervix is dilated, indicating that the foetus has already been aborted. There is also the possibility of finding the whole placenta or parts thereof within the uterine cavity.","{'Suspected medical condition': 'INCOMPLETE ABORTION', 'INVESTIGATIONS': ['FBC and sickling', 'Blood grouping and cross-matching', 'Ultrasound scan (to be requested if doubt exists in the diagnosis especially in early pregnancies)'], 'TREATMENT': {'Treatment objectives': ['To resuscitate patient', 'To evacuate the retained products of conception from the uterus', 'To prevent infection with antibiotic prophylaxis', 'To determine cause of abortion if recurrent', 'To prevent risk of Rhesus incompatibility in future pregnancies'], 'Non-pharmacological treatment': ['Digital curettage during vaginal examination to remove as much of the retained tissues as possible', 'Surgical evacuation of retained products of conception e.g. manual vacuum aspiration (MVA) with or without anesthesia', 'Post abortion abstention from sexual intercourse for at least 2 weeks', 'Post abortion counseling and psychological support (including Family Planning)'], 'Pharmacological treatment': ['If in shock and/or severe bleeding', 'Abortion with uterine size < 12 weeks', 'Abortion with uterine size > 12 weeks and 24 weeks', 'Abortion with uterine size > 24 weeks', 'To prevent infection', 'To prevent infection - in patients with penicillin allergy', 'To prevent Rhesus Isoimmunization']}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Patient presents with notable symptoms including the cessation or reduction of vaginal bleeding, following a period of heavy bleeding accompanied by the passage of clots, the foetus, and placenta. Additionally, there has been a resolution or abatement of the previously experienced pain. On examination, significant signs are observed. The uterine size appears smaller than expected for the gestational age, while the cervix is closed and firm. Moreover, there is an absence of pelvic tenderness.","{'Suspected medical condition': 'COMPLETE ABORTION', 'INVESTIGATIONS': ['FBC', 'Blood grouping and cross-matching', 'Ultrasound scan: to confirm empty uterine cavity'], 'TREATMENT': {'Treatment objectives': ['To confirm abortion is complete', 'To assess for and manage anemia if present', 'To assess for and manage pelvic infection if present', 'To prevent risk of Rhesus incompatibility in future pregnancies'], 'Non-pharmacological treatment': ['Counseling and psychological support (including Family Planning)'], 'Pharmacological treatment': []}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Patient presents with distressing symptoms, including severe lower abdominal pain, fever, vomiting, headache, and an offensive, bloody vaginal discharge. There are notable signs as well, such as fever (although temperature may register as normal), tachycardia, and the potential for low blood pressure if in septic shock. Peritonism, marked by abdominal tenderness and muscle rigidity, may also be present. The uterus is bulky and tender upon examination, with the cervix possibly displaying signs of being opened or closed. Furthermore, there is the concerning possibility of retained offensive products of conception. ","{'Suspected medical condition': 'SEPTIC ABORTION', 'Causes': 'Infected retained products of conception', 'INVESTIGATIONS': ['FBC and sickling test', 'Clotting screen', 'Blood culture and sensitivity', 'Urine culture and sensitivity', 'Endo-cervical swab for culture and sensitivity', 'Blood urea and electrolytes', 'Chest and abdominal X-ray', 'Abdomino-pelvic ultrasonography'], 'TREATMENT': {'Treatment objectives': ['To resuscitate patient', 'To treat infection', 'To evacuate uterus', 'To provide post-abortion counseling'], 'Non-pharmacological treatment': ['Evacuate the retained products of conception', 'Examine to confirm if uterus is perforated and determine if surgery is required', 'Psychological support and Family Planning counseling'], 'Pharmacological treatment': ['Resuscitation for shock', 'Treatment of Sepsis', 'Severe Pain management', 'Tetanus Prophylaxis']}}"
"As a medical copilot, please answer the following medical questions.",What can you tell me about Misoprostol Uses and Dosage in Management of Pregnancy?,"{'Misoprostol use in pregnancy complication': {'Misoprostol Uses and Dosage in Management of Pregnancy Complications': {'Induced abortion (0-8 weeks)': [{'indication': 'Misoprostol 800 microgram vaginally or orally or sublingually 3-12 hourly', 'dosage_notes': 'Ideally used 24-48 hours after Mifepristone, oral, 200 mg.'}], 'Induced abortion (9-12 weeks)': [{'indication': 'Misoprostol 800 microgram vaginally followed by Misoprostol 400 microgram vaginally or sublingually every 3 hours hourly (max. 3 doses)', 'dosage_notes': 'Ideally used 24-48 hours after Mifepristone, oral, 200 mg.'}], 'Missed abortion (0-12 weeks)': [{'indication': 'Misoprostol 800 microgram vaginally if needed repeat dose in 24 to 72 hours OR Misoprostol 600 microgram sublingually followed by two additional doses if needed 3 hourly', 'dosage_notes': 'Give 2 doses and leave to work for 1-2 days (unless heavy bleeding or infection).'}], 'Incomplete abortion (0-12 weeks)': [{'indication': '600 microgram orally stat', 'dosage_notes': 'Leave to work for 2 days (unless heavy bleeding or infection).'}], 'Induced abortion (13-24 weeks)': [{'indication': '400 microgram vaginally 3-4 hourly (max. 5 doses)', 'dosage_notes': 'Ideally used 48 hours after Mifepristone, oral, 200 mg. A lower Misoprostol dose of <200 microgram may be used with caution in women with caesarean scar only under specialist supervision.'}], 'Intrauterine foetal death (<28 weeks)': [{'indication': '13-17 weeks: Misoprostol 200 microgram 6 hourly\n18-28 weeks: Misoprostol 100 microgram 6 hourly', 'dosage_notes': 'Misoprostol should be used with caution in women with caesarean scar and only under specialist supervision.'}], 'Intrauterine foetal death (>28 weeks)': [{'indication': '28-42 weeks: Misoprostol 25-50 microgram 4 hourly', 'dosage_notes': 'Do not administer to women with previous caesarean section or other uterine scar.'}], 'Induction of labour (live fetus > 28 weeks)': [{'indication': '25 microgram vaginally 4 hourly Or 50 microgram orally 4 hourly Or 20 microgram oral solution 2 hourly', 'dosage_notes': 'Do not use if previous caesarean section.'}], 'PPH treatment': [{'indication': '600 microgram orally or sublingually stat.', 'dosage_notes': 'Use as second line drug if oxytocin is not available or is ineffective.'}], 'Cervical ripening prior to instrumentation': [{'indication': '400 microgram vaginally 3 hours before procedure', 'dosage_notes': 'Use for insertion of intrauterine device, surgical termination of pregnancy, dilatation and curettage, hysteroscopy.'}]}, 'Dosage regimes for Mifepristone and Misoprostol for various gestational ages': {'4-8 weeks': {'Mifepristone and Misoprostol (Evidence Rating A)': ['Mifepristone 200 mg stat. PLUS', 'Followed 24-48 hours later by Misoprostol, 800 micrograms (oral, vaginally) stat followed if needed by 2 repeat doses of 800 micrograms vaginally or sublingually every 3-12 hourly (max. 3 doses)'], 'Misoprostol Only (Evidence Rating A)': ['Misoprostol only: 800 microgram stat. vaginally followed by 2 repeat doses of 800 microgram vaginally or sublingually if needed every 3-12 hourly (max. 3 doses)']}, '9-12 weeks': {'Mifepristone and Misoprostol (Evidence Rating A)': ['Mifepristone 200 mg orally, PLUS 36-48 hours later:', 'Misoprostol 800 microgram vaginally, follow with up to 2 additional doses of Misoprostol 400 microgram sublingually or vaginally at 3-12 hour intervals (max. 3 doses)'], 'Misoprostol Only (Evidence Rating A)': ['Misoprostol 800 microgram vaginally stat., followed by 2 repeat doses of 800 microgram every 3-12 hours if needed (max. 3 doses)']}, '13-24* weeks': {'Mifepristone and Misoprostol (Evidence Rating A)': ['Mifepristone 200 mg orally, PLUS 36-48 hours later', 'Misoprostol 800 microgram vaginally, follow by repeated dose of Misoprostol 400 microgram every 3-4 hourly vaginally (or sublingually if there is significant bleeding from earlier vaginal misoprostol administration) until expulsion. (max. 5 doses)'], 'Misoprostol Only (Evidence Rating A)': ['Misoprostol 800 microgram vaginally followed by 400 microgram vaginally (or sublingually if there is significant bleeding) at 3-6 hourly intervals. Repeat dosing until expulsion (max. 5 doses)']}, '24-28* weeks': {'Mifepristone and Misoprostol (Evidence Rating A)': ['Mifepristone 200 mg orally, PLUS 36-48 hours later', 'Misoprostol 100-200 microgram vaginally or orally every 4 hours. Repeat dosing until expulsion (max. 5 doses). Decrease dose of misoprostol with increasing gestational age.'], 'Misoprostol Only (Evidence Rating A)': ['Misoprostol 100-200 microgram vaginally or orally every 4 hours. Repeat dosing until expulsion (max. 5 doses). Decrease dose of misoprostol with increasing gestational age.'], 'Notes': ['Uterine sensitivity to Misoprostol increases with gestational age. Lower doses of misoprostol are therefore used for older gestations.', 'Medication Abortions in the second trimester should only be done by doctors.']}}}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Patient presents with symptoms suggestive of intrauterine fetal demise occurring before 28 weeks of gestation. These symptoms include the reversal of typical pregnancy symptoms, recurrent episodes of bloody vaginal discharge, and the absence of maternal perception of foetal movements, particularly if quickening had already been experienced. Upon examination, notable signs include a smaller-than-expected uterus concerning the gestational age or dates. Furthermore, there is an absence of detectable foetal heart tones using methods like the Pinard stethoscope or a foetal Doppler device like Sonicaid.","{'Suspected medical condition': 'MISSED ABORTION', 'INVESTIGATIONS': ['FBC and sickling test', 'Blood grouping and cross-matching', 'Ultrasound scan', 'Fasting blood sugar', 'Pelvic ultrasound'], 'TREATMENT': {'Treatment objectives': ['To make patient fit for uterine evacuation', 'To ensure safe uterine evacuation', 'To establish cause of foetal death if possible'], 'Pharmacological treatment': ['Ripening of cervix to facilitate surgical evacuation']}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.",Patient requested that her pregnancy be terminated.,"{'Suspected medical condition': 'INDUCED (SAFE) ABORTION', 'INVESTIGATIONS': ['FBC', 'Blood group and Rhesus factor', 'Special Investigations for medico-legal indications e.g. rape (DNA, HIV status etc.)'], 'TREATMENT': {'Treatment objectives': ['To ensure that legal requirements for termination are met', 'To ensure safe abortion', 'To provide Family Planning counseling and services as needed', 'To prevent risk of Rhesus incompatibility in future pregnancies'], 'Pharmacological treatment': ['Medication Abortion']}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Patient presents with a concerning array of symptoms, including the presence of pimples predominantly on the face, with occasional occurrences on the trunk, chest, and shoulders. Additionally, the patient reports greasy skin and facial disfigurement, which are causing significant distress. Upon examination, distinct signs have been observed. These include the presence of comedones, comprising both blackheads and whiteheads, as well as papules, cysts, scars, nodules, and pustules. Notably, the patient is experiencing hirsutism, which suggests a potential excess of androgens.","{'Suspected medical condition': 'ACNE VULGARIS', 'Causes': ['Increased sebum secretion', 'Abnormal keratinization of the hair follicles (hereditary)', 'Increased sensitivity of the sebaceous glands to male hormones', 'Propionibacterium acnes', 'Prolonged use of systemic and topical steroids', 'Use of pomades, especially products that contain lanolin, petrolatum, vegetable oils, butyl stearate, lauryl alcohol and oleic acid', 'Contraceptive agents', 'Pregnancy', 'Polycystic ovarian syndrome', 'Adrenal disorders'], 'SYMPTOMS': ['Pimples (on the face and occasionally on the trunk, chest, and shoulders)', 'Greasy skin', 'Facial disfigurement'], 'SIGNS': ['Comedones (blackheads and whiteheads)', 'Papules', 'Cysts', 'Scars', 'Nodules', 'Pustules', 'Hirsutism (suggest excess androgens)'], 'INVESTIGATIONS': ['Usually none', 'Serum testosterone (in females with accompanying hirsutism and virilizing features)', 'Pelvic ultrasound (in females to exclude polycystic ovaries if hirsutism present)'], 'TREATMENT': {'Treatment objectives': ['To improve cosmetic appearance', 'To prevent complications particularly scarring', 'To reassure patient', 'To identify and avoid any causative or contributing factors'], 'Non-pharmacological treatment': ['Counseling of patients'], 'pharmacological treatment': [{'Pharmacological Treatment': {'A. For mild to moderate acne': {'Evidence Rating': '[A]', 'Treatments': ['Benzoyl peroxide 5% lotion, topical, apply daily (avoiding mouth, eyes and the mucous membranes)', 'Clindamycin, 1% lotion or gel, topical, apply daily', 'Tretinoin 0.01% gel, topical, apply nocte (avoiding the sun, eyes, nostrils, mouth, mucous membrane and broken skin) [Caution 11-2. Topical retinoids (Tretinoin) are contraindicated in pregnancy]', 'Adapalene 0.1% cream or gel, topical, apply thinly once daily (at night before sleep)']}, 'B. For moderate to severe acne (or where topical therapy is ineffective or not tolerated)': {'Evidence Rating': '[B]', 'Treatments': ['Topical treatment from above (A)', {'Doxycycline, oral': {'Adults': '100 mg daily for 6 weeks-6 months (depending on response to treatment)', 'Children': 'Not recommended'}}, {'Tetracycline, oral': {'Adults': '250-500 mg 12 hourly for 6 weeks-6 months (depending on response to treatment)', 'Children': {'> 12 years': 'same dose as for adults above', '< 12 years': 'not recommended'}}}, {'Erythromycin, oral': {'Adult': '500 mg 12 hourly for 6 weeks-6 months', 'Children': {'> 12 years': '500 mg 12 hourly for 6 weeks - 6 months', '1-12 years': '125 mg 12 hourly Or 250 mg once daily for 6 weeks-6 months'}}}]}}}]}}"
"As a medical copilot, please generate intervention, Causes, treatment, investigation and medical diagnosis based on the patient's input.","Patient presents with a range of concerning symptoms, including a low-grade fever, frequency in urination, nocturia (increased urination during the night), urgency, dysuria (painful urination), haematuria (presence of blood in urine), cloudy and foul-smelling urine, as well as low back and suprapubic pain. During examination, specific signs have been observed, including low-grade fever, suprapubic tenderness, and the presence of haematuria.","{'Suspected medical condition': 'ACUTE CYSTITIS', 'Causes': ['E. coli (about 80%)', 'Staphylococcus saprophyticus', 'Klebsiella', 'Proteus mirabilis', 'Gonococcus', 'Enterococci', 'Occasionally sexually transmitted organisms'], 'Investigations': ['Urinalysis', 'Mid-stream urine for culture and sensitivity', 'FBC', 'FBS', 'Imaging of urinary tract in recurrent or persistent cases to exclude anatomical abnormalities, lower urinary tract obstruction, etc.', 'Urethrocystoscopy in selected cases'], 'Treatment Objectives': ['To eradicate infection', 'To prevent recurrence and complications', 'To relieve pain'], 'Non Pharmacological Treatment': ['Liberal oral fluids to encourage good urinary output', 'Pre-coital and post-coital emptying of the bladder', 'Personal hygiene and proper cleaning after defaecation especially in females'], 'Pharmacological Treatment': {'AcuteUncomplicatedCystitis': {'Nitrofurantoin, oral': '100 mg 6 hourly for 5-7 days (Adults), 50 mg 6 hourly for 7 days (Children)', 'Ciprofloxacin, oral': '500 mg 12 hourly for 5-7 days (Adults), 250-750 mg 12 hourly (Children)', 'Cefuroxime, oral': '500 mg 12 hourly for 5-7 days (Adults), 250 mg 12 hourly (Children)'}, 'Symptomatic Cystitis UTI Pregnancy': {'Cefuroxime, oral': '500 mg 12 hourly for 5-7 days (Adults)', 'Potassium citrate, oral': '10 ml 8 hourly if urine is acidic (pH of 6 or below)', 'Paracetamol, oral': '500 mg-1g 6-8 hourly when required'}}}"
